"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoSSB","rhoF"
"1402",2031,27,2,"No rho-adjustment","Two year updates",3,783.959603555061,756.9453,0.454485632745326,0.4367975,126.84576813463,126.5403,121833.688192459,123717.85,4.66342384077404,-2.66203847874972,0.000965929098397078,0.000793854356601727
"1403",2032,27,2,"No rho-adjustment","Two year updates",3,768.683591403614,762.16875,0.457258253800138,0.4389525,123.422524245309,123.0049,104661.047157832,104682.35,0.422890101845017,-3.44577944865506,0.00232579078094734,-0.000474218321238722
"1404",2033,27,2,"No rho-adjustment","Two year updates",3,764.073520960702,746.52295,0.457260991267584,0.44337845,122.481229739834,123.59555,114134.852257482,113732.45,5.53878717053675,-3.44579827705081,0.00305085043544733,-0.00221429339206954
"1405",2034,27,2,"No rho-adjustment","Two year updates",3,743.452668097285,732.8978,0.461471700616895,0.4415224,121.954376177342,123.2086,119061.490033178,119264.3,0.452292350945502,-4.04906426266553,0.00410493234965812,-0.00288462740731635
"1406",2035,27,2,"No rho-adjustment","Two year updates",3,730.960688695735,720.4677,0.461490365543286,0.4392526,117.372614199738,116.6662,115272.56920408,118097.4,4.77714550047821,-4.04828437260267,0.00362081095746338,-0.00270211065771024
"1407",2036,27,2,"No rho-adjustment","Two year updates",3,724.176190548911,751.7433,0.457390515222042,0.4392329,120.139972258389,119.88695,112042.634385193,112169.65,-0.11934008804016,-3.55016200938564,0.00245913745012505,-0.0018674936057607
"1408",2037,27,2,"No rho-adjustment","Two year updates",3,748.594214533832,745.0153,0.457395402548898,0.44309355,117.035554837869,117.4835,126044.222690955,123408.95,4.45835645455028,-3.55186229599434,0.00267621671407209,-0.00154711060045742
"1409",1986,28,2,"No rho-adjustment","Two year updates",4,89.9753610351909,73.48821,0.2207,0.21445235,7.83561876600025,7.926383,16764,16719.665,NA,NA,NA,NA
"1410",1987,28,2,"No rho-adjustment","Two year updates",4,73.7711214343386,74.096085,0.2945,0.28332625,10.0035237973203,9.995933,2603,2594.2355,NA,NA,NA,NA
"1411",1988,28,2,"No rho-adjustment","Two year updates",4,74.4934435887016,61.96985,0.291,0.28025495,7.50606867903968,7.502816,19933,19929.135,NA,NA,NA,NA
"1412",1989,28,2,"No rho-adjustment","Two year updates",4,62.3266203066556,58.901165,0.249,0.2397366,6.4317035482798,6.4333095,1358,1356.6735,NA,NA,NA,NA
"1413",1990,28,2,"No rho-adjustment","Two year updates",4,59.214410408129,60.28002,0.2992,0.2881038,7.59027028399048,7.5732745,3378,3384.305,NA,NA,NA,NA
"1414",1991,28,2,"No rho-adjustment","Two year updates",4,60.5734452595615,55.344375,0.6603,0.63466495,14.5407658638631,14.49053,2688,2696.785,NA,NA,NA,NA
"1415",1992,28,2,"No rho-adjustment","Two year updates",4,55.6222147194099,41.428175,0.5398,0.51874195,9.76342487705575,9.743081,10529,10507.665,NA,NA,NA,NA
"1416",1993,28,2,"No rho-adjustment","Two year updates",4,41.6323916561534,33.52773,0.2927,0.2816161,4.38851024716317,4.373704,15191,15168.305,NA,NA,NA,NA
"1417",1994,28,2,"No rho-adjustment","Two year updates",4,33.6597587297414,38.475715,0.3985,0.3821947,6.2952767793536,6.27689,14942,14925.18,NA,NA,NA,NA
"1418",1995,28,2,"No rho-adjustment","Two year updates",4,38.6234898077664,41.65355,0.1421,0.13671905,1.97553475736585,1.976335,12204,12178.965,NA,NA,NA,NA
"1419",1996,28,2,"No rho-adjustment","Two year updates",4,41.7801357588651,51.68157,0.097,0.09334693,1.71446339875092,1.714597,11301,11267.775,NA,NA,NA,NA
"1420",1997,28,2,"No rho-adjustment","Two year updates",4,51.8073389019209,60.750395,0.0855,0.08203922,1.90300226284824,1.9050135,22261,22140.14,NA,NA,NA,NA
"1421",1998,28,2,"No rho-adjustment","Two year updates",4,60.8894703634729,70.585635,0.124,0.11914425,3.6604767731432,3.662666,13779,13706.495,NA,NA,NA,NA
"1422",1999,28,2,"No rho-adjustment","Two year updates",4,70.7949914737786,76.762375,0.1801,0.1722921,5.59684393472745,5.5838095,45226,45055.1,NA,NA,NA,NA
"1423",2000,28,2,"No rho-adjustment","Two year updates",4,77.0129803186628,89.013275,0.1704,0.1633017,5.93215622050017,5.913536,10209,10142.915,NA,NA,NA,NA
"1424",2001,28,2,"No rho-adjustment","Two year updates",4,89.385473139594,105.06015,0.2401,0.23141925,8.8705722829292,8.8939815,78106,78000.785,NA,NA,NA,NA
"1425",2002,28,2,"No rho-adjustment","Two year updates",4,105.528145785963,117.82165,0.2884,0.27614485,12.5451731117654,12.48074,4394,4379.095,NA,NA,NA,NA
"1426",2003,28,2,"No rho-adjustment","Two year updates",4,118.394649936067,133.00985,0.2763,0.2649892,12.1416858719723,12.08474,2080,2066.4775,NA,NA,NA,NA
"1427",2004,28,2,"No rho-adjustment","Two year updates",4,133.587723031962,119.96815,0.4736,0.4543993,21.5957138357583,21.540345,249492,248784.25,NA,NA,NA,NA
"1428",2005,28,2,"No rho-adjustment","Two year updates",4,120.405289782529,117.61205,0.4336,0.41639525,18.1657530234026,18.12191,5322,5301.841,NA,NA,NA,NA
"1429",2006,28,2,"No rho-adjustment","Two year updates",4,118.057777771138,176.245,0.3138,0.3009083,14.3733030450475,14.31939,12873,12872.435,NA,NA,NA,NA
"1430",2007,28,2,"No rho-adjustment","Two year updates",4,176.880730570213,185.6862,0.282,0.27109925,18.8094523469845,18.81831,4201,4194.902,NA,NA,NA,NA
"1431",2008,28,2,"No rho-adjustment","Two year updates",4,186.43189433051,170.87175,0.2304,0.22132085,14.7301729152368,14.72804,4373,4372.031,NA,NA,NA,NA
"1432",2009,28,2,"No rho-adjustment","Two year updates",4,171.624433219292,146.3645,0.3477,0.33509755,25.3621812661493,25.4165,1788,1788.62,NA,NA,NA,NA
"1433",2010,28,2,"No rho-adjustment","Two year updates",4,147.0344630459,104.35165,0.3866,0.37134005,26.2614609638849,26.21554,6991,6995.0715,NA,NA,NA,NA
"1434",2011,28,2,"No rho-adjustment","Two year updates",4,104.981309139985,67.128455,0.3182,0.3073098,10.9697587414567,10.996695,207156,206919.95,NA,NA,NA,NA
"1435",2012,28,2,"No rho-adjustment","Two year updates",4,67.5050354251006,67.419895,0.7004,0.6766422,16.9714379626348,16.94738,38754,38591.905,NA,NA,NA,NA
"1436",2013,28,2,"No rho-adjustment","Two year updates",4,67.7574370535411,117.7239,0.2913,0.28064295,7.27047889335172,7.2689965,29515,29428.34,NA,NA,NA,NA
"1437",2014,28,2,"No rho-adjustment","Two year updates",4,118.096745612346,146.2034,0.5461,0.52454945,22.4072515842732,22.325615,2267641,2258729.5,NA,NA,NA,NA
"1438",2015,28,2,"No rho-adjustment","Two year updates",4,146.616474937886,267.5919,0.6394,0.6158662,34.3520181548896,34.271995,55083,54779.165,NA,NA,NA,NA
"1439",2016,28,2,"No rho-adjustment","Two year updates",4,268.396686028049,757.75695,0.4135,0.39693465,50.7602736140631,50.72618,154684,153817,NA,NA,NA,NA
"1440",2017,28,2,"No rho-adjustment","Two year updates",4,760.939793956678,934.21235,0.0982,0.094373875,28.0916259681389,28.058335,546138,543284,NA,NA,NA,NA
"1441",2018,28,2,"No rho-adjustment","Two year updates",4,938.246103233141,942.1081,0.0367,0.035329085,12.0631750529366,12.103675,79974,79526.035,NA,NA,NA,NA
"1442",2019,28,2,"No rho-adjustment","Two year updates",4,946.191307994999,1271.886,0.0234566926059917,0.022544885,14.4821202927844,14.451425,117769.860506425,116443.7,-2.01669132169835,307.446786206609,NA,NA
"1443",2020,28,2,"No rho-adjustment","Two year updates",4,1276.43855303616,1280.7525,0.0200436751131602,0.01922134,17.379410278158,17.338505,112652.598504659,111865.05,-1.22358016019931,13.5241149597801,-0.000528879908945921,0.000496797421060658
"1444",2021,28,2,"No rho-adjustment","Two year updates",4,1277.32669763633,1280.7375,0.0200436800496317,0.01923708,13.0605053166766,13.160785,128111.549674181,124999.2,-3.00184286047222,13.5243797179677,-0.000382389251977708,0.000112004174716058
"1445",2022,28,2,"No rho-adjustment","Two year updates",4,1280.59850903728,1324.7015,0.0361915361493517,0.034317265,25.033232312222,25.0012,107653.549822579,108614.4,-1.47754496392003,-45.1305970757727,4.07270181472664e-05,0.000353076360764348
"1446",2023,28,2,"No rho-adjustment","Two year updates",4,1329.04485457491,1335.307,0.0361915319029391,0.034207835,24.9308744507962,25.24773,126772.518036449,124004.2,-5.02069642349188,-45.1312299707891,4.71753746638882e-05,0.00202232679042299
"1447",2024,28,2,"No rho-adjustment","Two year updates",4,1334.49218662541,1390.987,0.0561904512253723,0.05346532,36.0542694678986,36.155905,116320.431734551,118439,-1.87706825433962,-36.9541727972772,-0.000646588351726265,0.000583422088128133
"1448",2025,28,2,"No rho-adjustment","Two year updates",4,1406.56214392737,1454.863,0.0561906189150244,0.05415517,37.4575807204057,37.42297,120902.408502432,118869.4,-0.957382582116407,-36.9541836630804,0.000842129818950825,6.24881314607123e-05
"1449",2026,28,2,"No rho-adjustment","Two year updates",4,1461.60582029669,1465.817,0.0739967041139915,0.0720637,51.9249099744415,52.01994,120160.818724365,120774.05,-1.55469287681972,-30.321474091987,0.00038548211687817,0.000622514793129739
"1450",2027,28,2,"No rho-adjustment","Two year updates",4,1479.17955253057,1446.64,0.0739954936718932,0.072121335,52.1451028212338,52.1347,118121.714069184,118106.9,0.282602312968291,-30.3224926339289,0.00119411736810308,-0.000544385440368023
"1451",2028,28,2,"No rho-adjustment","Two year updates",4,1461.0212058762,1456.9485,0.104002829575485,0.1025016,74.7793217103733,74.89946,109089.066207123,109049.15,-2.24775991016626,-34.8963793857141,0.000952724640181266,-0.000838993232752333
"1452",2029,28,2,"No rho-adjustment","Two year updates",4,1482.94775352769,1440.655,0.104001761444779,0.1007794,72.458964627818,72.329775,109172.106394124,109033.9,-0.0706166974378664,-34.8967377900304,0.00105564288758377,-0.00073446853711407
"1453",2030,28,2,"No rho-adjustment","Two year updates",4,1462.19336741829,1433.407,0.157794981250108,0.15445515,107.690099860393,107.06245,115426.702214374,113515.9,-2.06817261774405,-34.462008559805,-0.000568130859281486,0.000448441551164005
"1454",2031,28,2,"No rho-adjustment","Two year updates",4,1439.98745502399,1372.6445,0.157793703189959,0.15536345,100.545651341426,99.898155,127253.889203532,124969.9,1.94293824358427,-34.4614144685262,-0.00147479278305261,0.00225756311068074
"1455",2032,28,2,"No rho-adjustment","Two year updates",4,1406.88939303619,1334.489,0.252733602990579,0.2427707,155.072926398748,150.68965,118033.358458996,117470.65,-2.55286729766014,-33.9332903461455,-0.00262607543480504,0.00285606923472073
"1456",2033,28,2,"No rho-adjustment","Two year updates",4,1353.81599293056,1242.8565,0.252729042364054,0.24649735,133.022392892251,132.26285,114535.513101323,111573.7,4.13019196051532,-33.9332465558395,-0.00174969380716466,0.00219979432903731
"1457",2034,28,2,"No rho-adjustment","Two year updates",4,1267.33348698613,1184.2575,0.36065611970491,0.34989355,193.092357543363,191.2604,112649.659832337,111715.55,-2.60626500762039,-30.7567114044557,-0.0019979109893158,0.00240976217020225
"1458",2035,28,2,"No rho-adjustment","Two year updates",4,1200.6379828509,1077.6235,0.360650310939329,0.35222155,159.659475615633,159.9505,129850.074484746,128668.45,5.66582837751662,-30.7574576378602,-0.00433587208769668,0.00459368288263637
"1459",2036,28,2,"No rho-adjustment","Two year updates",4,1080.3199897412,1021.4755,0.417670802836948,0.4066507,175.541260176633,175.18955,122675.736852752,120185.75,-2.18752865781954,-17.0463290795397,-0.00540033471600165,0.00660651362526142
"1460",2037,28,2,"No rho-adjustment","Two year updates",4,1037.54076396046,983.77775,0.417670418592604,0.4073189,156.562634655024,156.9306,120478.889796958,122806,6.48856470654252,-17.0458230715608,-0.00725577783241628,0.00767671343608483
"1461",1986,29,6,"No rho-adjustment","Two year updates",1,89.9753610351664,73.662235,0.2207,0.214069,7.83561876599828,7.9092855,16764,16780.925,NA,NA,NA,NA
"1462",1987,29,6,"No rho-adjustment","Two year updates",1,73.7711214343226,74.37196,0.2945,0.28228915,10.0035237973183,9.9807905,2603,2599.465,NA,NA,NA,NA
"1463",1988,29,6,"No rho-adjustment","Two year updates",1,74.4934435886888,62.239225,0.291,0.27954855,7.50606867903841,7.4964005,19933,19980.25,NA,NA,NA,NA
"1464",1989,29,6,"No rho-adjustment","Two year updates",1,62.3266203066477,59.138495,0.249,0.23926665,6.43170354827908,6.4271665,1358,1360.78,NA,NA,NA,NA
"1465",1990,29,6,"No rho-adjustment","Two year updates",1,59.2144104081238,60.484635,0.2992,0.28718475,7.59027028398984,7.575806,3378,3382.34,NA,NA,NA,NA
"1466",1991,29,6,"No rho-adjustment","Two year updates",1,60.5734452595576,55.6063,0.6603,0.63165975,14.5407658638622,14.500935,2688,2702.1335,NA,NA,NA,NA
"1467",1992,29,6,"No rho-adjustment","Two year updates",1,55.6222147194071,41.624445,0.5398,0.51628535,9.76342487705536,9.742387,10529,10597.285,NA,NA,NA,NA
"1468",1993,29,6,"No rho-adjustment","Two year updates",1,41.6323916561519,33.715435,0.2927,0.2797617,4.38851024716304,4.3845,15191,15278.29,NA,NA,NA,NA
"1469",1994,29,6,"No rho-adjustment","Two year updates",1,33.6597587297406,38.70979,0.3985,0.3814078,6.29527677935348,6.2949975,14942,15017.175,NA,NA,NA,NA
"1470",1995,29,6,"No rho-adjustment","Two year updates",1,38.6234898077659,41.94151,0.1421,0.13590735,1.97553475736583,1.9760685,12204,12261.525,NA,NA,NA,NA
"1471",1996,29,6,"No rho-adjustment","Two year updates",1,41.7801357588648,52.029655,0.097,0.092528625,1.71446339875091,1.713242,11301,11326.62,NA,NA,NA,NA
"1472",1997,29,6,"No rho-adjustment","Two year updates",1,51.8073389019206,61.17198,0.0855,0.081916455,1.90300226284823,1.910746,22261,22332.155,NA,NA,NA,NA
"1473",1998,29,6,"No rho-adjustment","Two year updates",1,60.8894703634727,71.10017,0.124,0.11793445,3.66047677314319,3.661721,13779,13824.01,NA,NA,NA,NA
"1474",1999,29,6,"No rho-adjustment","Two year updates",1,70.7949914737785,77.290435,0.1801,0.1718881,5.59684393472744,5.61227,45226,45325.13,NA,NA,NA,NA
"1475",2000,29,6,"No rho-adjustment","Two year updates",1,77.0129803186627,89.62812,0.1704,0.16325315,5.93215622050016,5.954689,10209,10256.345,NA,NA,NA,NA
"1476",2001,29,6,"No rho-adjustment","Two year updates",1,89.385473139594,105.8379,0.2401,0.22896125,8.8705722829292,8.877241,78106,78288.035,NA,NA,NA,NA
"1477",2002,29,6,"No rho-adjustment","Two year updates",1,105.528145785963,118.71615,0.2884,0.27699805,12.5451731117654,12.61214,4394,4402.054,NA,NA,NA,NA
"1478",2003,29,6,"No rho-adjustment","Two year updates",1,118.394649936067,133.9062,0.2763,0.2645324,12.1416858719723,12.16444,2080,2075.215,NA,NA,NA,NA
"1479",2004,29,6,"No rho-adjustment","Two year updates",1,133.587723031962,120.72845,0.4736,0.4518725,21.5957138357582,21.605575,249492,250314.15,NA,NA,NA,NA
"1480",2005,29,6,"No rho-adjustment","Two year updates",1,120.405289782529,118.41225,0.4336,0.41633795,18.1657530234026,18.23598,5322,5328.872,NA,NA,NA,NA
"1481",2006,29,6,"No rho-adjustment","Two year updates",1,118.057777771138,177.4877,0.3138,0.29996,14.3733030450475,14.35909,12873,12954.73,NA,NA,NA,NA
"1482",2007,29,6,"No rho-adjustment","Two year updates",1,176.880730570213,187.09695,0.282,0.2694251,18.8094523469845,18.824635,4201,4227.287,NA,NA,NA,NA
"1483",2008,29,6,"No rho-adjustment","Two year updates",1,186.43189433051,172.2037,0.2304,0.2206266,14.7301729152368,14.7649,4373,4424.045,NA,NA,NA,NA
"1484",2009,29,6,"No rho-adjustment","Two year updates",1,171.624433219292,147.4716,0.3477,0.3332614,25.3621812661493,25.49915,1788,1801.9545,NA,NA,NA,NA
"1485",2010,29,6,"No rho-adjustment","Two year updates",1,147.0344630459,105.26925,0.3866,0.37222375,26.2614609638849,26.42941,6991,7026.802,NA,NA,NA,NA
"1486",2011,29,6,"No rho-adjustment","Two year updates",1,104.981309139985,67.676675,0.3182,0.30442855,10.9697587414567,10.974835,207156,207757.7,NA,NA,NA,NA
"1487",2012,29,6,"No rho-adjustment","Two year updates",1,67.5050354251006,67.98491,0.7004,0.6723008,16.9714379626348,17.03766,38754,38831.26,NA,NA,NA,NA
"1488",2013,29,6,"No rho-adjustment","Two year updates",1,67.7574370535411,118.48735,0.2913,0.2786504,7.27047889335172,7.297014,29515,29514.345,NA,NA,NA,NA
"1489",2014,29,6,"No rho-adjustment","Two year updates",1,118.096745612346,147.00745,0.5461,0.5221028,22.4072515842732,22.42066,2267641,2258007.5,NA,NA,NA,NA
"1490",2015,29,6,"No rho-adjustment","Two year updates",1,146.616474937886,267.9486,0.6394,0.6120932,34.3520181548896,34.44152,55083,54914.44,NA,NA,NA,NA
"1491",2016,29,6,"No rho-adjustment","Two year updates",1,268.396686028049,758.1639,0.4135,0.39772055,50.7602736140631,50.93119,154684,154019.65,NA,NA,NA,NA
"1492",2017,29,6,"No rho-adjustment","Two year updates",1,760.939793956678,934.239,0.0982,0.094284215,28.0916259681389,28.081335,546138,544082.45,NA,NA,NA,NA
"1493",2018,29,6,"No rho-adjustment","Two year updates",1,938.246103233141,941.8121,0.0367,0.035272505,12.0631750529366,12.032495,79974,79674.38,NA,NA,NA,NA
"1494",2019,29,6,"No rho-adjustment","Two year updates",1,946.191307994999,1272.494,0.596006925913598,0.575187,313.504829344359,314.43265,113631.528827344,114345.25,-2.15019497886857,-84.0505611974741,NA,NA
"1495",2020,29,6,"No rho-adjustment","Two year updates",1,1276.41373910281,979.72355,0.629110461662123,0.60817275,313.502857373442,313.03705,110501.648789989,110914.5,-1.9079498449962,-7.18278634094464,0.00296354390941215,-0.00254226397930529
"1496",2021,29,6,"No rho-adjustment","Two year updates",1,986.386003167247,709.8452,0.629111347632684,0.6088271,171.153714355343,170.74695,113528.235254702,112087.5,26.1373649825922,-7.18220377391583,0.00521402644803707,-0.00562252512957251
"1497",2022,29,6,"No rho-adjustment","Two year updates",1,714.978435621586,624.7676,0.490706937542312,0.4769373,121.201618119192,121.2346,116573.839370439,113846.1,-5.22322659270936,31.0141104862582,0.0194087073897571,-0.01996632326076
"1498",2023,29,6,"No rho-adjustment","Two year updates",1,630.672299758614,603.3393,0.490713636955168,0.47683835,111.347932601327,111.4651,113841.184250755,112326.95,9.04847663475463,31.0144936205973,0.00772287695661071,-0.00718168970351945
"1499",2024,29,6,"No rho-adjustment","Two year updates",1,609.968013668386,658.7987,0.434775060579024,0.42358505,89.9846838036938,89.85327,115881.317663125,113553.6,-5.6278550449297,14.8862144148495,0.00303251140952225,-0.00207912124838629
"1500",2025,29,6,"No rho-adjustment","Two year updates",1,667.088581230735,696.25225,0.434773138109741,0.42801235,102.889785734106,103.15785,118399.831929788,115903.95,-2.33969889005051,14.8848581893363,-0.001044407072598,0.00166592374048578
"1501",2026,29,6,"No rho-adjustment","Two year updates",1,712.844426142548,717.96075,0.421877237952732,0.41097045,109.95070724857,110.0982,118748.677009515,116527.7,-6.33143641131636,9.92076473743393,-0.00514326438034315,0.00627358839964108
"1502",2027,29,6,"No rho-adjustment","Two year updates",1,738.549534203181,749.35545,0.42186643085324,0.41540495,110.676808095492,109.90485,122559.090961738,118299.25,-6.17304582221442,9.92159528047485,-0.00663418874413088,0.00757658037364347
"1503",2028,29,6,"No rho-adjustment","Two year updates",1,766.294458982775,780.45295,0.402838564939353,0.399656,115.042887700594,115.79295,107359.266756114,102917.35,-7.59820257101182,11.7859564050769,-0.00782883687354371,0.00986909359923768
"1504",2029,29,6,"No rho-adjustment","Two year updates",1,796.402208194741,815.9281,0.40283221311376,0.39817235,114.878146760265,115.3973,116095.749523461,110184.65,-5.80084264093734,11.7834690479159,-0.0125229468178084,0.0177016590606381
"1505",2030,29,6,"No rho-adjustment","Two year updates",1,843.142101932936,793.31495,0.395343907040361,0.3934792,122.524978634583,121.54965,112234.027169074,103675.45,-9.59980394810309,9.70394054651882,-0.0114739971120579,0.0166385321032461
"1506",2031,29,6,"No rho-adjustment","Two year updates",1,822.640537264021,791.8186,0.39534070548491,0.3965104,121.299026841453,120.35505,117580.34522979,108105.3,-7.01524311168734,9.7048645723015,-0.011489501767699,0.0158478830332133
"1507",2032,29,6,"No rho-adjustment","Two year updates",1,826.205755691407,783.892,0.379904920607268,0.3834595,121.668519898357,118.303,102072.693536352,93529.84,-11.7517262142086,15.1813359170722,-0.0114199695996796,0.0173601842719787
"1508",2033,29,6,"No rho-adjustment","Two year updates",1,832.835128623425,804.2494,0.379901684968094,0.3866742,119.316963683768,117.7473,116089.020253389,106573.35,-9.17341607267222,15.1821375192089,-0.013584629140677,0.0182550477889963
"1509",2034,29,6,"No rho-adjustment","Two year updates",1,865.132434208619,772.73435,0.360936152187425,0.38044475,120.873964258918,121.07285,126336.654460433,111465.1,-12.6330771768638,17.5911944510115,-0.0160662325354595,0.0198587886938468
"1510",2035,29,6,"No rho-adjustment","Two year updates",1,848.968334712809,747.7583,0.360930878749946,0.38466605,118.153729873009,117.74025,112311.253116134,99595.39,-9.84106296796996,17.5909536083751,-0.0188459766373934,0.0245983295632348
"1511",2036,29,6,"No rho-adjustment","Two year updates",1,826.249263925868,725.529,0.350464219831083,0.37865435,114.379953942057,114.97115,125278.792579211,109585.3,-12.3891872566463,15.9738429364272,-0.023308760342415,0.0291510610423055
"1512",2037,29,6,"No rho-adjustment","Two year updates",1,813.130153342403,720.6634,0.35046959287208,0.3910202,111.358800614196,111.2804,119855.402407353,100959.2,-9.06768064580114,15.9728509860284,-0.0284701169292431,0.0344242234133971
"1513",1986,30,6,"No rho-adjustment","Two year updates",2,89.9753610351592,73.83502,0.2207,0.2135115,7.83561876599771,7.919395,16764,16793.14,NA,NA,NA,NA
"1514",1987,30,6,"No rho-adjustment","Two year updates",2,73.771121434318,74.43559,0.2945,0.2823606,10.0035237973177,9.987963,2603,2608.802,NA,NA,NA,NA
"1515",1988,30,6,"No rho-adjustment","Two year updates",2,74.4934435886851,62.29885,0.291,0.2791142,7.50606867903804,7.494969,19933,20018.07,NA,NA,NA,NA
"1516",1989,30,6,"No rho-adjustment","Two year updates",2,62.3266203066454,59.20513,0.249,0.2383876,6.43170354827887,6.421401,1358,1367.611,NA,NA,NA,NA
"1517",1990,30,6,"No rho-adjustment","Two year updates",2,59.2144104081223,60.62518,0.2992,0.2877405,7.59027028398965,7.617202,3378,3397.706,NA,NA,NA,NA
"1518",1991,30,6,"No rho-adjustment","Two year updates",2,60.5734452595564,55.70229,0.6603,0.6322465,14.5407658638619,14.55216,2688,2704.069,NA,NA,NA,NA
"1519",1992,30,6,"No rho-adjustment","Two year updates",2,55.6222147194064,41.66628,0.5398,0.5166709,9.76342487705525,9.774182,10529,10597.14,NA,NA,NA,NA
"1520",1993,30,6,"No rho-adjustment","Two year updates",2,41.6323916561515,33.75039,0.2927,0.2798424,4.38851024716301,4.391397,15191,15244.71,NA,NA,NA,NA
"1521",1994,30,6,"No rho-adjustment","Two year updates",2,33.6597587297404,38.76016,0.3985,0.3802135,6.29527677935344,6.29397,14942,15007.88,NA,NA,NA,NA
"1522",1995,30,6,"No rho-adjustment","Two year updates",2,38.6234898077657,41.96728,0.1421,0.1355664,1.97553475736582,1.975057,12204,12236.06,NA,NA,NA,NA
"1523",1996,30,6,"No rho-adjustment","Two year updates",2,41.7801357588647,52.05405,0.097,0.09239544,1.71446339875091,1.716289,11301,11324.99,NA,NA,NA,NA
"1524",1997,30,6,"No rho-adjustment","Two year updates",2,51.8073389019206,61.16913,0.0855,0.08157186,1.90300226284822,1.904792,22261,22318.96,NA,NA,NA,NA
"1525",1998,30,6,"No rho-adjustment","Two year updates",2,60.8894703634727,71.06703,0.124,0.1185053,3.66047677314318,3.674958,13779,13792.4,NA,NA,NA,NA
"1526",1999,30,6,"No rho-adjustment","Two year updates",2,70.7949914737784,77.25937,0.1801,0.1724406,5.59684393472744,5.608257,45226,45360.81,NA,NA,NA,NA
"1527",2000,30,6,"No rho-adjustment","Two year updates",2,77.0129803186626,89.67712,0.1704,0.1625366,5.93215622050016,5.933314,10209,10206.57,NA,NA,NA,NA
"1528",2001,30,6,"No rho-adjustment","Two year updates",2,89.385473139594,105.8596,0.2401,0.2297454,8.8705722829292,8.899186,78106,78369.37,NA,NA,NA,NA
"1529",2002,30,6,"No rho-adjustment","Two year updates",2,105.528145785963,118.7285,0.2884,0.275881,12.5451731117654,12.55318,4394,4397.724,NA,NA,NA,NA
"1530",2003,30,6,"No rho-adjustment","Two year updates",2,118.394649936067,133.9711,0.2763,0.2638206,12.1416858719723,12.16512,2080,2080.775,NA,NA,NA,NA
"1531",2004,30,6,"No rho-adjustment","Two year updates",2,133.587723031962,120.7657,0.4736,0.4555383,21.5957138357582,21.73775,249492,250267,NA,NA,NA,NA
"1532",2005,30,6,"No rho-adjustment","Two year updates",2,120.405289782529,118.3671,0.4336,0.4171545,18.1657530234026,18.26909,5322,5357.201,NA,NA,NA,NA
"1533",2006,30,6,"No rho-adjustment","Two year updates",2,118.057777771138,177.2784,0.3138,0.3004731,14.3733030450475,14.3833,12873,12952.18,NA,NA,NA,NA
"1534",2007,30,6,"No rho-adjustment","Two year updates",2,176.880730570213,186.9396,0.282,0.2690098,18.8094523469845,18.76226,4201,4234.67,NA,NA,NA,NA
"1535",2008,30,6,"No rho-adjustment","Two year updates",2,186.43189433051,172.2034,0.2304,0.2205724,14.7301729152368,14.7865,4373,4409.123,NA,NA,NA,NA
"1536",2009,30,6,"No rho-adjustment","Two year updates",2,171.624433219292,147.552,0.3477,0.3336821,25.3621812661493,25.49539,1788,1801.729,NA,NA,NA,NA
"1537",2010,30,6,"No rho-adjustment","Two year updates",2,147.0344630459,105.2903,0.3866,0.3714133,26.2614609638849,26.3901,6991,7032.909,NA,NA,NA,NA
"1538",2011,30,6,"No rho-adjustment","Two year updates",2,104.981309139985,67.57765,0.3182,0.3041322,10.9697587414567,10.96142,207156,207574.5,NA,NA,NA,NA
"1539",2012,30,6,"No rho-adjustment","Two year updates",2,67.5050354251006,67.85072,0.7004,0.6680941,16.9714379626348,16.99929,38754,38660.46,NA,NA,NA,NA
"1540",2013,30,6,"No rho-adjustment","Two year updates",2,67.7574370535411,118.3401,0.2913,0.2794242,7.27047889335172,7.297901,29515,29466.83,NA,NA,NA,NA
"1541",2014,30,6,"No rho-adjustment","Two year updates",2,118.096745612346,146.7692,0.5461,0.5225821,22.4072515842732,22.48702,2267641,2260718,NA,NA,NA,NA
"1542",2015,30,6,"No rho-adjustment","Two year updates",2,146.616474937886,268.0013,0.6394,0.6146996,34.3520181548896,34.49929,55083,54680.68,NA,NA,NA,NA
"1543",2016,30,6,"No rho-adjustment","Two year updates",2,268.396686028049,758.5055,0.4135,0.3977333,50.7602736140631,50.88005,154684,153927.8,NA,NA,NA,NA
"1544",2017,30,6,"No rho-adjustment","Two year updates",2,760.939793956678,934.6038,0.0982,0.09474714,28.0916259681389,28.18096,546138,544074.9,NA,NA,NA,NA
"1545",2018,30,6,"No rho-adjustment","Two year updates",2,938.246103233141,942.9481,0.0367,0.03513252,12.0631750529366,12.01638,79974,79465.25,NA,NA,NA,NA
"1546",2019,30,6,"No rho-adjustment","Two year updates",2,946.191307994999,1273.704,0.585531524984688,0.5674058,308.853294313647,311.3298,112337.347556327,111801.6,-2.84991077038533,-83.5043042708793,NA,NA
"1547",2020,30,6,"No rho-adjustment","Two year updates",2,1276.40597903661,983.7272,0.611702852040788,0.5933687,308.844192892697,309.136,110786.500571544,109742.1,-2.6724180941189,-6.07876051152919,-0.00108178242606215,0.00161250144386253
